"Elements","Result","Time"
1,SAT,301
2,SAT,483
3,SAT,3226
4,SAT,10882
5,SAT,31046
6,SAT,65194
7,SAT,114038
8,SAT,194578
9,SAT,369568
10,SAT,502448
11,SAT,741566
12,SAT,884351
13,SAT,1364618
14,SAT,1883850
15,SAT,2674266
