"Elements","Result","Time"
1,SAT,375
2,SAT,400
3,SAT,594
4,SAT,1067
5,SAT,2071
6,SAT,4461
7,SAT,7357
8,SAT,10693
9,SAT,17212
10,SAT,30301
11,SAT,45143
12,SAT,61050
13,SAT,91855
14,SAT,134117
15,SAT,183024
16,SAT,223459
17,SAT,307393
18,SAT,416552
19,SAT,517712
20,SAT,734428
21,SAT,877911
22,SAT,1015640
23,SAT,1223853
24,SAT,1622740
25,SAT,1969317
26,SAT,2358643
27,SAT,2975806
